Software	Version	Status_or_note
R	>=4.2	Exact analysis-time version not retained
Seurat	4.3.0	Reported in manuscript
GSVA	2.2.0	Reported in manuscript
CellChat	1.6.1	Reported in manuscript
Cell Ranger	6.0.1	Reported in manuscript
BSTMatrix	1.0	Reported in manuscript
CellPhoneDB	Not recorded	Confirm software and database versions
spacexr/RCTD	Not recorded	Capture from analysis environment
Harmony	Not recorded	Capture from analysis environment
Slingshot	Not recorded	Capture from analysis environment
